Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,Jerry,1146.8392349688422,0,0.0,0.0%,1147,0
-,MoxJet+3716,1146.745937132397,2,0.0,0.0%,1172,-7
-,sourdoh+5225,1146.501507914435,11,1.0,9.1%,1200,-4
-,ZimaBlue+5729,1146.1624760327104,3,0.0,0.0%,1200,-19
-,Ultcyber+1551,1145.6419126192295,22,2.0,9.1%,1248,-7
-,Yucca+8041,1144.9777983650529,4,0.0,0.0%,1200,-9
-,McMayo+5829,1144.848683580327,0,0.0,0.0%,1145,0
-,TonyDeloreanESQ+4756,1144.7103395507877,46,7.0,15.2%,1200,-5
-,Soluna+2127,1144.1305111872584,0,0.0,0.0%,1144,0
-,PlagueCarrier+5718,1143.8336123914416,30,5.0,16.7%,1184,-4
-,Lokfok+5204,1142.8944857192455,0,0.0,0.0%,1143,0
-,CoxyNormus+5176,1141.3328337249427,0,0.0,0.0%,1141,0
-,Ironic+3891,1141.1345617088064,0,0.0,0.0%,1141,0
-,NattyKash+316,1140.4187260085498,0,0.0,0.0%,1140,0
-,polyphemur+3699,1140.3417975723116,29,5.0,17.2%,1200,-8
-,Blank+7029,1139.0152029857763,1,0.0,0.0%,1144,-8
-,Awesem+1966,1137.6822830804165,5,0.0,0.0%,1208,-19
-,TheIndustrialRevoloution+3880,1137.464515032004,0,0.0,0.0%,1137,0
-,Fearteiler+8050,1136.2738186056547,12,1.0,8.3%,1169,-5
-,ellbelle+9011,1135.702368847898,4,1.0,25.0%,1172,-7
-,Podge0303+8578,1135.3663025354456,1,0.0,0.0%,1153,-20
